Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3824032M1,ELEMENT OUTER,AML,3/08/2020,20/11/2020,26/10/2020,,182,13,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3825176M1,SWITCH- UPTO S/N R010019 8 PIN,AML,3/08/2020,20/11/2020,26/10/2020,,94,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3825362M2,EXHAUST PIPE,AML,3/08/2020,20/11/2020,2/11/2020,,863,1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3901462M2,AIR FILTER ELEMENT-OUTER,AML,3/08/2020,20/11/2020,26/10/2020,,122,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3901465M2,AIR FILTER-INNER 70 O/D 345 L,AML,3/08/2020,20/11/2020,26/10/2020,,438,24,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3902149M1,WINDOW,AML,3/08/2020,20/11/2020,26/10/2020,,129,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3902365M1,WASHER,AML,3/08/2020,20/11/2020,26/10/2020,,66,60,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3902399M91,DIFFERENTIAL 8/36 TEETH,AML,3/08/2020,20/11/2020,26/10/2020,,"3,235",2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3903195M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,70,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3903646M1,UNIVERSAL CROSS,AML,3/08/2020,20/11/2020,26/10/2020,,168,6,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3903701M1,UNIVERSAL CROSS,AML,3/08/2020,20/11/2020,26/10/2020,,103,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3904442M91,ARMREST,AML,3/08/2020,20/11/2020,26/10/2020,,214,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907222M1,WINDOW DOOR RH,AML,3/08/2020,20/11/2020,2/11/2020,,423,2,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907297M91,BLOWER MOTOR,AML,3/08/2020,20/11/2020,26/10/2020,,750,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907299M92,HARNESS,AML,3/08/2020,20/11/2020,26/10/2020,,65,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907310M1,REGULATOR,AML,3/08/2020,20/11/2020,26/10/2020,,136,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907530M1,POTENTIOMETER,AML,3/08/2020,20/11/2020,26/10/2020,,50,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907710M91,JOINT KIT,AML,3/08/2020,20/11/2020,26/10/2020,,68,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3907943M1,FILTER ELEMENT,AML,3/08/2020,20/11/2020,26/10/2020,,92,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3909565M91,KIT  SEAL,AML,3/08/2020,20/11/2020,26/10/2020,,5,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3909569M1,COCK,AML,3/08/2020,20/11/2020,26/10/2020,,95,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3909802M91,RADIATOR,AML,3/08/2020,20/11/2020,26/10/2020,,112,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3909822M91,ROD LINK,AML,3/08/2020,20/11/2020,26/10/2020,,43,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3909996M1,HEX CAP SCREW,AML,3/08/2020,20/11/2020,26/10/2020,,64,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3933622M91,BEACON,AML,3/08/2020,20/11/2020,26/10/2020,,73,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3970126M1,FLASHER,AML,3/08/2020,20/11/2020,26/10/2020,,61,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3970170M1,HYDRAULIC FILTER,AML,3/08/2020,20/11/2020,26/10/2020,,"1,796",20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3970194M1,WINDOW,AML,3/08/2020,20/11/2020,2/11/2020,,347,1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3970199M1,WINDOW ASSEMBLY,AML,3/08/2020,20/11/2020,2/11/2020,,"1,071",1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3970482M1,DAMPER,AML,3/08/2020,20/11/2020,26/10/2020,,228,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3972769M1,SEALS KIT,AML,3/08/2020,20/11/2020,26/10/2020,,99,8,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3976521M1,FUEL PRE FILTER,AML,3/08/2020,20/11/2020,26/10/2020,,671,8,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,3976523M1,FUEL FILTER ELEMENT,AML,3/08/2020,20/11/2020,26/10/2020,,747,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4205521M1,FERRULE,AML,3/08/2020,20/11/2020,26/10/2020,,195,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4222091M91,FUEL PUMP,AML,3/08/2020,20/11/2020,26/10/2020,,112,6,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4222111M91,FUEL PUMP,AML,3/08/2020,20/11/2020,26/10/2020,,209,12,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4222354M1,HEAD GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,130,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4222849M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,120,50,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4222851M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,16,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4223738M91,HOUSING,AML,3/08/2020,20/11/2020,26/10/2020,,543,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224451M91,Fuel Lift Pump,AML,3/08/2020,20/11/2020,26/10/2020,,161,7,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224452M91,JOINT,AML,3/08/2020,20/11/2020,26/10/2020,,65,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224634M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,85,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224760M1,O RING,AML,3/08/2020,20/11/2020,26/10/2020,,3,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224801M1,CAP,AML,3/08/2020,20/11/2020,26/10/2020,,36,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224809M1,OIL FILTER,AML,3/08/2020,20/11/2020,26/10/2020,,297,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224954M1,ROCKER COVER GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,172,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224958M1,COVER GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,111,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4224961M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,69,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4225037M1,THERM. HOUSING,AML,3/08/2020,20/11/2020,26/10/2020,,194,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4225392M91,Water Pump,AML,3/08/2020,20/11/2020,26/10/2020,,206,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4225430M1,THERMOSTAT,AML,3/08/2020,20/11/2020,26/10/2020,,106,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4225847M1,O-RING,AML,3/08/2020,20/11/2020,26/10/2020,,1,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226269M1,O-RING,AML,3/08/2020,20/11/2020,26/10/2020,,7,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226613M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,65,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226637M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,88,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226820M1,FUEL FILTER ASSEMBLY,AML,3/08/2020,20/11/2020,26/10/2020,,249,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226841M91,PUMP-FUEL INJECTION,AML,3/08/2020,20/11/2020,26/10/2020,,"4,549",2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226848M1,ECU UNIT REQUIRES PROGRAMING,AML,3/08/2020,20/11/2020,26/10/2020,,"1,902",2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4226857M1,INJ.PIPE NO.3,AML,3/08/2020,20/11/2020,26/10/2020,,129,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4227408M1,GASKET,AML,3/08/2020,20/11/2020,26/10/2020,,20,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4270214M1,PADDING - RED +,AML,3/08/2020,20/11/2020,26/10/2020,,2,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4270855M3,SUPPORT - RH,AML,3/08/2020,20/11/2020,26/10/2020,,96,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4270968M2,HOSE,AML,3/08/2020,20/11/2020,26/10/2020,,92,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4271078M1,PLATE,AML,3/08/2020,20/11/2020,26/10/2020,,86,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4271132M1,SCREW,AML,3/08/2020,20/11/2020,26/10/2020,,2,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4271840M92,LAMP,AML,3/08/2020,20/11/2020,26/10/2020,,106,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4272733M1,COVER,AML,3/08/2020,20/11/2020,26/10/2020,,11,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4272753M3,CABLE-1700MM,AML,3/08/2020,20/11/2020,26/10/2020,,111,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4272760M1,WINDOW,AML,3/08/2020,20/11/2020,26/10/2020,,925,11,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4272775M1,RIGHT HAND DOOR GLASS,AML,3/08/2020,20/11/2020,2/11/2020,,815,5,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4273313M2,TUBE,AML,3/08/2020,20/11/2020,26/10/2020,,48,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4273513M92,PLATE CLAMPING,AML,3/08/2020,20/11/2020,26/10/2020,,87,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4273542M93,STUFFING BOX,AML,3/08/2020,20/11/2020,26/10/2020,,17,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4274255M1,TENSION BRACKT,AML,3/08/2020,20/11/2020,2/11/2020,,7,2,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4274755M2,BLANKING PLUG-32MM,AML,3/08/2020,20/11/2020,26/10/2020,,13,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4274857M1,DECAL-DYNA VT,AML,3/08/2020,20/11/2020,26/10/2020,,40,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4275051M1,WIPER MOTOR,AML,3/08/2020,20/11/2020,26/10/2020,,110,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4275131M1,BEARING CARRIER,AML,3/08/2020,20/11/2020,26/10/2020,,185,7,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4275275M2,SHAFT-4WD,AML,3/08/2020,20/11/2020,2/11/2020,,604,2,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4275620M1,PLATE,AML,3/08/2020,20/11/2020,26/10/2020,,40,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4276588M3,FUEL GAUGE NON SUCTION,AML,3/08/2020,20/11/2020,26/10/2020,,32,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4277283M92,AERIAL KIT,AML,3/08/2020,20/11/2020,26/10/2020,,69,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4278662M93,ELECTRON CONSOLE,AML,3/08/2020,20/11/2020,2/11/2020,,209,1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4279121M93,ENVELOPE,AML,3/08/2020,20/11/2020,26/10/2020,,138,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4281380M1,COVER-BATTERY,AML,3/08/2020,20/11/2020,26/10/2020,,127,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4281649M4,BAND,AML,3/08/2020,20/11/2020,26/10/2020,,139,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4281879M93,ALTERNATOR 120AMP,AML,3/08/2020,20/11/2020,26/10/2020,,523,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4282010M1,FAN BELT,AML,3/08/2020,20/11/2020,26/10/2020,,284,17,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4282047M1,DECAL -DYNA-6,AML,3/08/2020,20/11/2020,26/10/2020,,33,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4282089M2,RADAR,AML,3/08/2020,20/11/2020,30/11/2020,,563,2,,79,6,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4282175M2,TENSIONER PULLEY,AML,3/08/2020,20/11/2020,26/10/2020,,"1,681",20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4282379M2,HOSE,AML,3/08/2020,20/11/2020,26/10/2020,,154,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4284198M1,SWITCH,AML,3/08/2020,20/11/2020,26/10/2020,,83,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4286326M1,BRAKE CYLINDER-MAIN,AML,3/08/2020,20/11/2020,26/10/2020,,"1,153",3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4286448M1,STRUT  245MM DOOR,AML,3/08/2020,20/11/2020,26/10/2020,,211,17,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4287787M2,HOSE,AML,3/08/2020,20/11/2020,26/10/2020,,49,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288242M1,SUPPORT,AML,3/08/2020,20/11/2020,26/10/2020,,83,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288442M2,GASKET-RUBBER,AML,3/08/2020,20/11/2020,26/10/2020,,111,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288791M3,LATCH-BONNET,AML,3/08/2020,20/11/2020,26/10/2020,,61,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288978M1,AIR FILTER ELEMENT,AML,3/08/2020,20/11/2020,2/11/2020,,"3,373",72,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288979M1,AIR FILTER ELEMENT,AML,3/08/2020,20/11/2020,26/10/2020,,"7,170",226,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4288979M1,AIR FILTER ELEMENT,AML,3/08/2020,20/11/2020,2/11/2020,,444,14,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4289347M91,RAM-BONNET,AML,3/08/2020,20/11/2020,26/10/2020,,63,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4290035M91,GAS STRUT,AML,3/08/2020,20/11/2020,26/10/2020,,150,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4290035M91,GAS STRUT,AML,3/08/2020,20/11/2020,2/11/2020,,30,1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4290375M2,DECAL-BONNET LH,AML,3/08/2020,20/11/2020,26/10/2020,,225,6,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4291485M3,BAND,AML,3/08/2020,20/11/2020,26/10/2020,,170,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4291492M2,BONNET,AML,3/08/2020,20/11/2020,26/10/2020,,602,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4291506M3,RH PANEL,AML,3/08/2020,20/11/2020,26/10/2020,,445,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4291526M3,LEFT HAND PANEL,AML,3/08/2020,20/11/2020,26/10/2020,,449,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4291977M4,SWITCH,AML,3/08/2020,20/11/2020,26/10/2020,,127,11,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4292759M1,DAMPER,AML,3/08/2020,20/11/2020,26/10/2020,,227,2,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4292773M1,RAM,AML,3/08/2020,20/11/2020,26/10/2020,,196,7,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4293078M1,W18x28 WAFFLE RIM,AML,3/08/2020,20/11/2020,2/11/2020,,649,1,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4293088M1,FUEL SENDER UNIT,AML,3/08/2020,20/11/2020,26/10/2020,,85,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4293526M92,ACCUMULATOR,AML,3/08/2020,20/11/2020,26/10/2020,,407,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4294420M5,ROCKER SWITCH,AML,3/08/2020,20/11/2020,26/10/2020,,381,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4295028M2,BUSH OUTER,AML,3/08/2020,20/11/2020,26/10/2020,,87,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4295804M91,COUPLER,AML,3/08/2020,20/11/2020,26/10/2020,,11,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4295869M1,FUSE 3A,AML,3/08/2020,20/11/2020,26/10/2020,,9,10,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4296354M91,PLATE CLAMPING,AML,3/08/2020,20/11/2020,26/10/2020,,41,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4297245M95,BRACKET,AML,3/08/2020,20/11/2020,26/10/2020,,145,6,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4297280M95,BRACKET,AML,3/08/2020,20/11/2020,26/10/2020,,155,6,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4297406M91,GLASS DOOR LHS,AML,3/08/2020,20/11/2020,2/11/2020,,"1,174",2,,79,-14,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4298223M94,BEACON BRACKET,AML,3/08/2020,20/11/2020,26/10/2020,,132,4,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4298533M95,TURNING LIGHT,AML,3/08/2020,20/11/2020,26/10/2020,,673,20,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4299316M3,COUPLING,AML,3/08/2020,20/11/2020,26/10/2020,,298,7,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4299436M3,DECAL MF RH,AML,3/08/2020,20/11/2020,26/10/2020,,31,1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4299615M1,FEMALE COUPLER,AML,3/08/2020,20/11/2020,26/10/2020,,107,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4300238M4,TRANSDUCER,AML,3/08/2020,20/11/2020,26/10/2020,,152,3,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4301386M94,ONBOARD COMPUTER AUTO 5,AML,3/08/2020,20/11/2020,26/10/2020,,"1,461",12,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4302112M91,TUBE-LEVELLING BOX,AML,3/08/2020,20/11/2020,26/10/2020,,125,5,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4302405M1,PUMP,AML,3/08/2020,20/11/2020,26/10/2020,,"1,428",1,,79,-19,0,0
20 - Parts Item,PTS,2110932,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,4303912M1,CLEVIS PIN,AML,3/08/2020,20/11/2020,26/10/2020,,24,1,,79,-19,0,0
