Item Type,Order Type,PO No,Curr,PO Stat Code,Supplier,OrderNo,Buyer,Item Number,Item Description,WH,POCreateDate,PO Req Del Date,PO Conf Del Date,PO Rcvd Date,PO Value,Qty,,Create to Req Days,Req to Conf Days,Conf to Recvd Days,Req to Recvd Days
20 - Parts Item,AIR,3009280,AUD,20,80050 - AGCO GMBH,          ,PTSPUR2,ACW2217300,TRIMBLE RECEIVER W/VD03,AML,12/08/2020,10/09/2020,,3/09/2020,"84,226",17,,21,0,0,-5
20 - Parts Item,AIR,3009317,AUD,20,80050 - AGCO GMBH,          ,ANZAGCONET,ACX2833260,STUDS,AML,18/08/2020,4/11/2020,,,144,144,,56,0,0,0
20 - Parts Item,AIR,3009317,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,4276590M1,F/SENDER 2TUBE,AML,18/08/2020,21/10/2020,19/10/2020,,86,2,,46,-2,0,0
20 - Parts Item,AIR,3009348,AUD,40,80050 - AGCO GMBH,          ,ANZAGCONET,ACP0513930,CONTROL VALVE,AML,24/08/2020,10/09/2020,1/09/2020,,20,1,,13,-7,0,0
20 - Parts Item,AIR,3009357,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,4382373M4,GRILLE,AML,25/08/2020,11/09/2020,7/09/2020,,45,1,,13,-4,0,0
20 - Parts Item,AIR,3009365,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,8.3515E+11,BRAKE PISTON SEAL,AML,26/08/2020,11/09/2020,11/09/2020,,106,2,,12,0,0,0
20 - Parts Item,AIR,3009370,AUD,20,80050 - AGCO GMBH,          ,PTSPUR2,377415X1,PIN,AML,27/08/2020,4/11/2020,,,8,10,,49,0,0,0
20 - Parts Item,AIR,3009375,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,700744804,DECAL,AML,27/08/2020,23/09/2020,17/09/2020,,2,1,,19,-4,0,0
20 - Parts Item,AIR,3009375,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,V34160300,RADIATOR,AML,27/08/2020,11/09/2020,11/09/2020,,"1,305",1,,11,0,0,0
20 - Parts Item,AIR,3009383,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,ACW002983B,FUSE BOX,AML,28/08/2020,4/11/2020,,,145,1,,48,0,0,0
20 - Parts Item,AIR,3009392,AUD,15,80050 - AGCO GMBH,          ,ANZAGCONET,3426959M1,PIN,AML,1/09/2020,4/11/2020,,,14,1,,46,0,0,0
20 - Parts Item,AIR,3009403,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,V36970400,COUNTER RING,AML,2/09/2020,21/09/2020,17/09/2020,,9,1,,13,-2,0,0
20 - Parts Item,AIR,3009410,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,F835870060010,FORK,AML,3/09/2020,21/09/2020,17/09/2020,,157,1,,12,-2,0,0
20 - Parts Item,AIR,3009414,AUD,45,80050 - AGCO GMBH,          ,ANZAGCONET,5.30811E+11,STOP WASHER,AML,4/09/2020,21/09/2020,17/09/2020,,0,1,,11,-2,0,0
